[04-02-2022_21-14-36] INFO :: Experiment >> 

          ========================================          
                    Experimental Results                    
          ========================================          

               ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~               
                     Concatenated Plans                     

 RU  AL  LE  AC  CF       GT       ST       OT        TT        LT        CT       WT         RSS         VMS  QL_SCORE  LT_SCORE  CT_SCORE  AW_SCORE  AME_SCORE  LT_GRADE  CT_GRADE  AW_GRADE  AME_GRADE    GRADE
 32   1  71  71 1.0 6.958751 1.188069 0.028987  8.175806  6.181402 15.381572 1.956229  775.914062  767.464844  0.943662  0.895942  0.675541       1.0        1.0  0.845467  0.637482  0.943662   0.943662 0.910930
 33   3  20  20 1.0 1.133254 0.705225 0.000000  1.838480  1.838480  1.838480 1.838480  771.699219  763.496094  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 33   2  42  42 1.0 3.314020 0.974740 0.015919  4.304678  4.128987  6.143158 3.085731  796.921875  792.156250  1.000000  1.000000  0.898302       1.0        1.0  1.000000  0.898302  1.000000   1.000000 1.000000
 33   1  71  71 1.0 6.944955 1.717927 0.028768  8.691650  5.080699 14.834808 1.887916  788.546875  780.812500  0.943662  0.989646  0.682109       1.0        1.0  0.933891  0.643681  0.943662   0.943662 0.940405
 34   3  20  20 1.0 1.126897 0.869033 0.000000  1.995930  1.995930  1.995930 1.995930  789.566406  780.855469  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 34   2  44  44 1.0 3.501822 1.203646 0.016683  4.722151  4.473038  6.718081 3.373146  812.488281  808.117188  0.954545  1.000000  0.866597       1.0        1.0  0.954545  0.827206  0.954545   0.954545 0.954545
 34   1  73  73 1.0 7.191253 1.849395 0.032134  9.072781  6.911240 15.790862 2.007586  803.710938  796.917969  0.917808  0.857438  0.670828       1.0        1.0  0.786964  0.615691  0.917808   0.917808 0.874193
 35   3  20  20 1.0 1.128279 0.880676 0.000000  2.008956  2.008956  2.008956 2.008956  803.386719  794.773438  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 35   2  44  44 1.0 3.486123 1.757598 0.016844  5.260565  5.042350  7.269520 3.649027  823.839844  820.390625  0.954545  0.994466  0.841954       1.0        1.0  0.949263  0.803683  0.954545   0.954545 0.952785
 35   1  73  73 1.0 7.204824 1.267855 0.032022  8.504700  6.894641 15.774221 2.005492  818.812500  810.382812  0.917808  0.858201  0.671016       1.0        1.0  0.787664  0.615864  0.917808   0.917808 0.874427
 36   3  20  20 1.0 1.133910 0.731638 0.000000  1.865548  1.865548  1.865548 1.865548  816.191406  807.535156  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 36   2  44  44 1.0 3.513966 1.304274 0.017147  4.835387  4.894560  6.700935 3.364611  842.882812  835.632812  0.954545  1.000000  0.867441       1.0        1.0  0.954545  0.828012  0.954545   0.954545 0.954545
 36   1  75  75 1.0 7.429215 1.981651 0.031427  9.442293  6.734501 16.143228 2.051667  837.683594  830.464844  0.893333  0.865794  0.666899       1.0        1.0  0.773442  0.595763  0.893333   0.893333 0.853370
 37   3  20  20 1.0 1.143524 0.857352 0.000000  2.000876  2.000876  2.000876 2.000876  833.894531  825.164062  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 37   2  44  44 1.0 3.503086 1.575728 0.016540  5.095354  4.810793  7.096230 3.562490  859.136719  851.160156  0.954545  1.000000  0.849219       1.0        1.0  0.954545  0.810618  0.954545   0.954545 0.954545
 37   1  73  73 1.0 7.239016 1.992877 0.031796  9.263688  6.657900 16.359918 2.078901  851.500000  844.265625  0.917808  0.869584  0.664539       1.0        1.0  0.798112  0.609920  0.917808   0.917808 0.877909
 38   3  20  20 1.0 1.140986 0.708156 0.000000  1.849141  1.849141  1.849141 1.849141  850.195312  841.488281  1.000000  1.000000  1.000000       1.0        1.0  1.000000  1.000000  1.000000   1.000000 1.000000
 38   2  42  42 1.0 3.465499 2.616002 0.015634  6.097136  7.004383  7.946277 3.987207  887.515625  887.343750  1.000000  0.853236  0.816855       1.0        1.0  0.853236  0.816855  1.000000   1.000000 0.951079
